PC,Ofsted,FSM,PT_ratio,absentees,top_third,Russell,Oxbridge,GCSE,best_3Alevels,ratio_AAB,normalised_price
47.0,3.0,13.0,18.1,11.8,8.0,4.0,0.0,58.0,11.67,0.0,0.8406423673393894
66.0,4.0,27.2,17.6,11.7,59.0,53.0,2.0,97.0,35.93,28.2,0.1430418815261381
74.0,4.0,71.7,15.4,8.8,6.0,6.0,0.0,71.0,25.15,0.0,0.1177700921828036
82.0,3.0,58.3,13.7,18.4,3.0,3.0,0.0,32.0,25.76,0.0,0.1273816595623978
94.0,3.0,53.0,14.4,12.4,9.0,9.0,0.0,41.0,29.33,2.2,0.061659787336291
95.0,3.0,50.3,15.1,17.0,5.0,5.0,0.0,37.0,25.18,4.3,-0.0240041580024862
120.0,2.0,74.2,13.4,7.9,10.0,10.0,0.0,44.0,32.63,3.0,0.5329099126436024
130.0,4.0,52.1,15.0,13.0,9.0,7.0,0.0,40.0,33.27,1.8,0.3886360691634466
139.0,3.0,52.1,16.8,17.8,12.0,12.0,0.0,33.0,35.78,10.0,0.7160347827489841
147.0,3.6666666666666665,21.266666666666666,16.933333333333334,7.666666666666667,63.333333333333336,56.333333333333336,4.666666666666667,86.0,40.92666666666667,38.6,0.4496811600282148
169.0,3.5,48.75,13.7,11.45,14.0,13.5,0.0,49.5,33.82,8.25,0.6004781441271747
178.0,2.0,28.5,13.7,8.3,16.0,12.0,0.0,49.0,28.81,4.4,1.0196006273252431
192.0,3.0,51.150000000000006,14.149999999999999,9.600000000000001,11.0,7.5,0.0,39.0,26.490000000000002,4.95,0.0839524611090834
201.0,3.0,40.2,13.9,13.6,12.0,9.0,0.0,39.0,23.8,4.0,0.2577251694711218
202.0,4.0,58.8,14.8,16.0,0.0,0.0,0.0,37.0,22.04,0.0,0.2819089604747333
203.0,3.0,59.3,15.7,5.1,11.0,11.0,0.0,33.0,26.26,6.1,0.2059091996120209
210.0,3.0,62.8,15.0,12.6,11.0,10.0,0.0,27.0,24.34,1.9,0.1492478371432695
219.0,4.0,17.9,17.8,7.2,51.5,45.0,3.5,96.0,35.55,21.6,0.0869714474486472
262.0,3.0,50.7,16.2,13.0,13.0,12.0,0.0,43.0,34.39,10.5,0.1431698877586338
301.0,4.0,27.0,16.9,8.2,26.0,23.0,1.0,59.0,38.57,14.9,0.5299496909381463
323.0,3.0,55.8,13.0,11.4,15.0,15.0,0.0,44.0,33.33,9.1,0.1814470283948763
324.0,4.0,17.2,20.1,5.6,71.0,60.0,5.0,97.0,41.52,40.2,0.0905356618692669
357.0,3.0,55.8,14.9,20.3,6.0,6.0,0.0,28.0,26.41,0.0,-0.0155062500839408
369.0,3.0,39.6,16.6,12.9,2.0,2.0,0.0,39.0,29.24,0.0,0.302111613300984
375.0,3.0,48.2,16.6,13.15,7.0,5.5,0.0,43.5,25.509999999999998,11.55,0.2660586008955171
388.0,3.0,45.5,17.8,17.0,22.0,21.0,0.0,43.0,31.96,10.9,0.540204049118035
437.0,3.0,21.1,13.4,7.8,5.0,5.0,0.0,47.0,28.13,0.0,0.2536822239193479
440.0,3.0,67.6,14.3,23.8,7.0,5.0,0.0,41.0,22.0,5.0,-0.0635849770717806
448.0,2.0,51.2,16.1,25.4,5.0,5.0,0.0,23.0,28.05,7.3,0.0501288372838009
459.0,2.5,31.4,16.85,19.8,11.5,10.5,0.0,29.0,30.165,10.5,0.3118574346458528
463.0,3.0,21.4,19.2,7.3,12.0,10.0,0.0,52.0,26.9,9.3,0.5217273344782776
475.0,3.0,20.1,14.4,9.3,5.0,2.0,0.0,44.0,28.82,5.9,0.4584189052220894
