PC,normalised_price
11,0.4202597453689293
12,-0.15735843739499863
13,0.2840878163043977
31,0.3594961572955703
32,-0.06123707570238815
47,0.8406423673393894
54,-0.04343682353708991
55,0.2170401998151077
56,0.7397742717360327
57,0.5419662809694018
65,0.1299778102649452
66,0.1430418815261381
67,-0.09280285620885036
74,0.11777009218280368
75,0.10054743842221142
81,-0.04500845865862742
82,0.12738165956239783
83,0.0820205021272976
94,0.06165978733629106
95,-0.024004158002486266
100,0.23795265838797341
109,0.08839947267860827
111,0.1559141338794735
112,0.03142925704493797
113,0.4077050433762048
114,0.40592889474921745
120,0.5329099126436024
128,0.030546645594152322
129,0.07476956530632277
130,0.3886360691634466
138,0.8839887502900051
139,0.7160347827489841
144,0.2139758707905953
145,0.1720498815704448
146,0.345795344519806
147,0.44968116002821484
151,1.8833828843053217
152,1.5839342486605343
153,1.5081230930414857
160,0.4351068767587722
168,0.6282260248334971
169,0.6004781441271747
170,0.7329085209948754
178,1.0196006273252431
179,0.8592834998072928
184,-0.019900035560338727
185,0.2643181442395309
186,0.10541535788810319
187,-0.16865170849098232
191,0.16126607636383986
192,0.08395246110908347
193,0.4758730732089706
201,0.2577251694711218
202,0.2819089604747333
203,0.20590919961202092
210,0.14924783714326953
218,0.010671039579725929
219,0.08697144744864724
235,0.1530598738804267
236,0.21798442791777856
237,0.04120437310545315
240,0.20207510438052048
248,0.14156871471869942
249,0.20948164597152377
258,0.17565620356973477
261,0.19753257028295013
262,0.14316988775863385
263,0.2119720699589364
276,0.24161626128197747
277,0.1790360839935394
280,0.30182354455114074
288,0.3141801929152727
289,0.3336865107129951
294,0.6701773231479765
295,0.2668687810684968
296,0.5402414903633573
297,0.8608487102672923
301,0.5299496909381463
302,0.14308593527258348
303,0.42204128049011747
311,0.12459470677497292
312,0.5506811816641474
313,0.1584078127709614
314,0.013465648706317683
315,0.2397421072674143
321,0.21220963091200856
322,0.4842692280962236
323,0.18144702839487636
324,0.09053566186926698
330,0.08333637238133085
338,0.3291039877108372
339,0.05668232948366564
346,0.05577614648686011
347,0.13384455056650238
356,-0.015092888672546675
357,-0.015506250083940822
360,0.3070380207570276
368,0.35328392323003927
369,0.302111613300984
375,0.2660586008955171
376,0.2718388022769543
377,0.43100959527016464
380,0.4144059226039999
388,0.540204049118035
389,0.3836411387776622
421,0.13868405487083516
422,0.3338558461321935
435,0.10998033504219427
436,0.42639513722583244
437,0.25368222391934797
440,-0.06358497707178061
448,0.05012883728380096
449,0.06464255337559888
450,-0.1630901185922247
458,1.0931379633923815
459,0.3118574346458528
461,0.4039744101455182
462,0.810511479120954
463,0.5217273344782776
475,0.4584189052220894
476,0.6672986077017001
487,0.8064968556207844
